Test;BF(Cycles);BE(Cycles);BF(Ops);BE(Ops);BF(ms);BE(ms)
1;18;7;16;19;1,114;1,003
2;1;1;0;0;0;0
3;3;2;1;6;1,897;1
4;1;1;0;0;0;0
5;1;1;0;0;0;0
6;15;8;13;16;1,039;1,004
7;4;4;2;7;2,003;1,003
8;8;7;6;12;1,006;1,994
9;1;1;0;0;0;0
10;1;1;0;0;0;0
11;18;7;16;19;1,068;1,996
12;1;1;0;0;0;0
13;19;7;17;19;1,005;1,997
14;1;1;0;0;0;0
15;4;4;2;7;1,966;1,031
16;7;5;5;11;1,002;2,005
17;40;12;38;25;1,934;1,001
18;14;8;12;16;1;1,101
19;3;2;1;6;1,001;1,001
20;6;5;4;11;1,049;1,057
21;33;6;31;22;2,003;1,002
22;25;7;23;19;1,89;1,091
23;5;3;3;10;1,91;1,104
24;13;6;11;15;1,893;1,014
25;12;8;10;16;1,95;1,052
26;1;1;0;0;0;0
27;9;4;7;14;1,072;1,005
28;1;1;0;0;0;0
29;5;3;3;10;1,948;1,951
30;9;4;7;14;1,01;1,008
31;5;3;3;10;1,045;1,048
32;11;6;9;15;1,105;1,998
33;1;1;0;0;0;0
34;17;5;15;18;1,098;1,007
35;21;7;19;19;2,005;1,02
36;29;9;27;20;1,87;1,076
37;1;1;0;0;0;0
38;9;4;7;14;1,978;1,02
39;7;5;5;11;1,996;1,009
40;7;5;5;11;1,942;1,048
41;4;4;2;7;1,015;1,888
42;5;3;3;10;1,001;2,106
43;12;8;10;16;1,073;1,027
44;5;3;3;10;1,999;1,005
45;3;2;1;6;1,898;1
46;3;2;1;6;1;2,097
47;7;5;5;11;1,897;1
48;10;6;8;15;1,103;1,009
49;9;4;7;14;1,997;1,991
50;10;6;8;15;2,005;2,007
51;4;4;2;7;1,009;1,018
52;1;1;0;0;0;0
53;28;11;26;21;1,047;1,045
54;1;1;0;0;0;0
55;12;8;10;16;1,019;1,09
56;6;5;4;11;2,002;1
57;11;6;9;15;2,004;1,007
58;1;1;0;0;0;0
59;1;1;0;0;0;0
60;4;4;2;7;1,05;1,948
61;5;3;3;10;1,001;1,109
62;9;4;7;14;1,991;1
63;8;7;6;12;1,99;1,012
64;11;6;9;15;1,997;1,012
65;21;7;19;19;1,948;1,943
66;7;5;5;11;2,083;2,004
67;18;7;16;19;1,899;1,097
68;11;6;9;15;1,998;1,009
69;1;1;0;0;0;0
70;6;5;4;11;1,098;1,003
71;1;1;0;0;0;0
72;5;3;3;10;2,058;1,994
73;7;5;5;11;1,998;1,996
74;6;5;4;11;2,002;1,005
75;13;6;11;15;1,993;2
76;8;7;6;12;2,004;1,944
77;7;5;5;11;2,053;1,998
78;14;8;12;16;2;1,004
79;6;5;4;11;2,014;1,993
80;52;12;50;25;1,989;1,902
81;4;4;2;7;2,096;2,006
82;1;1;0;0;0;0
83;10;6;8;15;1,118;1,006
84;5;3;3;10;2;1,003
85;7;5;5;11;1,009;1,99
86;1;1;0;0;0;0
87;42;10;40;24;1,061;1,904
88;10;6;8;15;1;1,095
89;4;4;2;7;1,094;1,003
90;5;3;3;10;1,103;1,001
91;3;2;1;6;1,891;1,102
92;1;1;0;0;0;0
93;60;14;58;26;1,104;1,002
94;11;6;9;15;1,996;1,104
95;8;7;6;12;1,951;1,344
96;5;3;3;10;1,015;1,101
97;8;7;6;12;1,992;1,008
98;14;8;12;16;1,996;1,998
99;1;1;0;0;0;0
100;8;7;6;12;2,052;2,047
